Labor 2 des FB MVT und Luftreinhaltetechnik;3;E150;Nicht buchbar;Verfügbar;Loschmitdt Trakt;Getreidemarkt 9,;BI03A09;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=BI03A09
Labor CC0117;20;;Nicht buchbar;Verfügbar;Gußhausstr. 27-29 - Neu El;Gußhausstraße 25-29,;CC0117;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=CC0117
Labor CF0141;10;;Nicht buchbar;Verfügbar;Haupttrakt;Gußhausstraße 25-25a,;CF0141;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=CF0141
Labor DA04A05;4;E325-04;Lokal;Verfügbar;Freihausgebäude;Wiedner Hauptstraße 8-10,;DA04A05;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=DA04A05
Labor Fördertechnik;5;E307;Lokal;Verfügbar;Lückenbau;Gumpendorfer Straße 7, erstes Untergeschoss;BDU1D42;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=BDU1D42
Labor Mechanische Prüfung I;6;;Lokal & zentral;Verfügbar;Institutsgebäude;Favoritenstraße 9-11,;HAEG09;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=HAEG09
Labor Technische Elektronik (LVA 362.132);18;E362;Nicht buchbar;Verfügbar;ZMNS;Gußhausstraße 25-25a,;CH0213;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=CH0213
Labor WM;7;;Lokal & zentral;Verfügbar;Institutsgebäude;Favoritenstraße 9-11,;HAEG11;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=HAEG11
Labor WM1;8;;Lokal & zentral;Verfügbar;Institutsgebäude;Favoritenstraße 9-11,;HAEG16;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=HAEG16
Labor Übungsraum E370;36;E370;Nicht buchbar;Verfügbar;Haupttrakt;Gußhausstraße 25-25a, 4. Stock;CF0426;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=CF0426
Laborraum BB01C15;3;E150;Nicht buchbar;Verfügbar;Eckbau;Getreidemarkt 9,;BB01C15;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=BB01C15
Laborraum BB01C19;3;E150;Nicht buchbar;Verfügbar;Eckbau;Getreidemarkt 9,;BB01C19;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=BB01C19
Laborraum BB01C23;3;E150;Nicht buchbar;Verfügbar;Eckbau;Getreidemarkt 9,;BB01C23;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=BB01C23
Laborraum BB02G02;3;E150;Nicht buchbar;Verfügbar;Eckbau;Getreidemarkt 9,;BB02G02;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=BB02G02
Messtechnik Labor;18;;Nicht buchbar;Verfügbar;Gußhausstr. 27-29 - Neu El;Gußhausstraße 25-29,;CA0406;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=CA0406
PC1;29;E299-02;Nicht buchbar;Verfügbar;Hauptgebäude;Karlsplatz 13,;AF0106;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=AF0106
PC2;9;E299-02;Nicht buchbar;Verfügbar;Hauptgebäude;Karlsplatz 13,;AF0105;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=AF0105
PC3;8;E299-02;Nicht buchbar;Verfügbar;Hauptgebäude;Karlsplatz 13,;AF0113;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=AF0113
PC4;15;E299-02;Nicht buchbar;Verfügbar;Hauptgebäude;Karlsplatz 13,;AF0122;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=AF0122
PC5;15;E299-02;Nicht buchbar;Verfügbar;Hauptgebäude;Karlsplatz 13,;AF0116;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=AF0116
PC6;7;E299-02;Nicht buchbar;Verfügbar;Hauptgebäude;Karlsplatz 13,;AF0101;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=AF0101
